"grade_feedback_id","problem_log_id","teacher_xid","grade","feedback","active_batch","time_taken_seconds","created_at"
932,141953013,2912675,0,"You are on the right track, but your answer is incorrect. Look back at the graph again. Are you sure the slope is 4?",1,89,2022-07-09 21:15:33.895 -0400
933,156797592,2912675,0,I'm not sure I understand. your response. Let's take a look at it again. The 4 white squares are untouched. But she takes the gray squares and cut on the diagonal. What shape does that create?,1,61,2022-07-09 21:16:35.194 -0400
934,144644490,2912675,2,Great start. How do you know?,1,22,2022-07-09 21:16:57.521 -0400
935,153807149,2912675,1,"Clare's score is 70, however, your work is flawed.",1,265,2022-07-09 21:21:23.562 -0400
936,154122044,2912675,1,This statement is correct. Please reread the directions which ask you to write 3 inequality statements.,1,75,2022-07-09 21:22:39.096 -0400
937,153807134,2912675,0,"You're right! Knowing that the mean is 40, can you find Clare's score?",1,26,2022-07-09 21:23:05.469 -0400
938,141768776,2912675,4,Nicely done!,1,12,2022-07-09 21:23:17.753 -0400
939,142080265,2912675,0,This response is incorrect.,1,15,2022-07-09 21:23:33.030 -0400
940,155271599,7629,4,Nice job!,1,704,2022-07-09 21:23:36.524 -0400
941,132021072,2912675,1,"You are on the right track with what operation you will need to use to solve the problem, however, your work is flawed. ",1,26,2022-07-09 21:23:59.781 -0400
942,155285620,7629,0,The problem states that there are 4 bags of apples. X would represent the number of apples that were originally in the bag.,1,30,2022-07-09 21:24:07.365 -0400
943,142085584,2912675,2,Please submit a more complete response. ,1,27,2022-07-09 21:24:27.221 -0400
944,142296242,7629,0,"When the correlation is strong, that would mean that they are related.",1,22,2022-07-09 21:24:30.085 -0400
945,142387482,2912675,3,Can you tell me more?,1,32,2022-07-09 21:25:00.263 -0400
946,141424567,2912675,1,"You are on the right track, can you tell me more?",1,11,2022-07-09 21:25:12.244 -0400
947,153771796,2912675,2,"Based on your work, I see some numbers that make sense. However, it is unclear what you have found as Clare's score. ",1,25,2022-07-09 21:25:37.475 -0400
948,154192851,2912675,0,Your answers are incorrect,1,11,2022-07-09 21:25:49.447 -0400
949,141453170,2912675,1,Great observation! Can you explain what the slope represents?,1,22,2022-07-09 21:26:11.861 -0400
950,142061101,2912675,0,Your answer is incorrect,1,7,2022-07-09 21:26:19.773 -0400
951,141453513,2912675,3,Nice work!,1,11,2022-07-09 21:26:31.897 -0400
952,132248341,2912675,1,"Good start, then what did you do? Who did you determine was the fastest swimmer?",1,28,2022-07-09 21:27:00.131 -0400
953,132016323,2912675,4,Fantastic response! Your thinking is well explained and clear!,1,24,2022-07-09 21:27:25.072 -0400
954,132549333,2912675,3,Nice work! How do you know that Eva is the faster swimmer?,1,20,2022-07-09 21:27:45.403 -0400
955,141891911,2912675,1,"Good start, tell me more!",1,9,2022-07-09 21:27:55.547 -0400
956,144444719,2912675,2,What is the significance of the numbers and how far to the left of 0 they are?,1,22,2022-07-09 21:28:18.315 -0400
957,154088030,2912675,0,"Your response is incorrect. Looking back at the problem, your values should be between -2 and -8. ",1,33,2022-07-09 21:28:52.446 -0400
958,141933235,2912675,1,This tells me what the graph shows over all. What specifically does the slope represent?,1,107,2022-07-09 21:30:39.942 -0400
959,156797449,2912675,0,Your answer is incorrect. Ann cuts the 2 grey squares in half with a diagonal line. What shapes does she have now? ,1,35,2022-07-09 21:31:15.470 -0400
960,141482836,2912675,3,"Nice work, can you tell me more?",1,15,2022-07-09 21:31:30.893 -0400
961,141522638,2912675,3,Nice work!,1,8,2022-07-09 21:31:39.244 -0400
962,153807174,2912675,2,Where did you get 120 from? You are on the right track! ,1,25,2022-07-09 21:32:04.712 -0400
963,156770129,2912675,4,Nicely done!,1,30,2022-07-09 21:32:35.640 -0400
964,144838871,2912675,0,"Your answer has a lot of thoughtful mathematical information. However, your answer is incorrect. ",1,35,2022-07-09 21:33:11.121 -0400
965,144485699,2912675,0,Your answer is incorrect.,1,93,2022-07-09 21:34:44.711 -0400
966,154149726,2912675,1,"Your answer of 70 is correct, but I am not follwowing your reasoning. Can you tell me more? ",1,40,2022-07-09 21:35:25.762 -0400
967,132520431,2912675,2,I agree that she swam 26 meters in 1 minute. Can you tell me how this information helped you to know that she was the faster swimmer?,1,115,2022-07-09 21:37:22.044 -0400
968,141522745,2912675,1,You are on the right track. Can you tell me more?,1,22,2022-07-09 21:37:44.675 -0400
969,154135735,2912675,0,Your answer is incorrect and you are missing an inequality. ,1,21,2022-07-09 21:38:06.551 -0400
970,154123763,2912675,0,Your answer is incorrect as the numbers that you are comparing do not fall within the given values of -2 and -8. (And I think your 8 key on your keyboard may need to be fixed) ,1,51,2022-07-09 21:38:57.896 -0400
971,141453089,2912675,2,Can you tell me more?,1,15,2022-07-09 21:39:13.875 -0400
972,132019866,2912675,2,"Great start! Using this information, who did you determine was the fastest swimmer? How do you know?",1,55,2022-07-09 21:40:09.175 -0400
973,144652730,2912675,4,Nicely done!,1,10,2022-07-09 21:40:19.468 -0400
974,154172600,2912675,4,Great work!,1,11,2022-07-09 21:40:30.966 -0400
975,141424981,2912675,3,What can you conclude about this relationship?,1,17,2022-07-09 21:40:49.157 -0400
976,141424635,2912675,3,Can you tell me more?,1,15,2022-07-09 21:41:05.067 -0400
977,137179703,2912675,3,Nice work!,1,12,2022-07-09 21:41:17.672 -0400
978,156770760,2912675,0,Take a look again at the line plot. Are you sure?,1,15,2022-07-09 21:41:33.015 -0400
979,156770406,2912675,3,I'm wondering if you can use the scale provided in your response to explain how you know there were 15. ,1,43,2022-07-09 21:42:16.327 -0400
980,141453365,2912675,2,That is true. What does the slope represent in this situation?,1,15,2022-07-09 21:42:31.898 -0400
981,153804667,2912675,2,"Looks like you have some of the right numbers, but I'm not fully following your thinking. For example, how does 120/3 =70? Please go back and check your work. ",1,28,2022-07-09 21:43:00.878 -0400
982,154839638,2912675,0,Your response does not answer the question.,1,49,2022-07-09 21:43:51.016 -0400
983,142061199,2912675,0,"True, but what does the slope represent in this situation?",1,11,2022-07-09 21:44:03.018 -0400
984,156770231,2912675,0,What about those who measured  52 inches?,1,23,2022-07-09 21:44:26.692 -0400
985,154087921,2912675,3,"Your response is correct, however you used the number -2 in all your responses. I'm wondering what other inequalities you can create.",1,37,2022-07-09 21:45:04.689 -0400
986,153769118,2912675,1,Hmm... What would you add for Clare then? Your answer is not correct but. you are on the right track. ,1,34,2022-07-09 21:45:39.438 -0400
987,132943963,2912675,4,Nice work!,1,18,2022-07-09 21:45:57.895 -0400
988,154086124,2912675,0,Your answer is incorrect. ,1,11,2022-07-09 21:46:09.712 -0400
989,154144152,2912675,2,Some of your work is flawed. Look at your three inequalities. Can you find your error?,1,36,2022-07-09 21:46:46.342 -0400
990,144583078,2912675,2,How do you know?,1,7,2022-07-09 21:46:54.279 -0400
991,144765706,2912675,4,Nice work!,1,7,2022-07-09 21:47:02.071 -0400
992,142327213,2912675,0,This does not answer the question which is asking what the slope represents in this situation,1,23,2022-07-09 21:47:25.589 -0400
993,144704702,2912675,0,Your response is incorrect. ,1,9,2022-07-09 21:47:35.594 -0400
994,142379229,2912675,0,"This is true, but does not answer the question which is to explain what the slope represents. ",1,13,2022-07-09 21:47:49.229 -0400
995,154559730,2912675,0,"Okay, can you share your answer and reasoning? ",1,18,2022-07-09 21:48:08.125 -0400
996,154084590,2912675,1,Good start! Can you give 2 more inequalities? ,1,21,2022-07-09 21:48:29.790 -0400
997,154149726,2912675,1,Your answer of 70 is correct but I am not following your mathematical reasoning. ,1,19,2022-07-09 21:48:49.580 -0400
998,137252809,2912675,2,"Okay...knowing this, how could you fix it?",1,14,2022-07-09 21:49:04.505 -0400
999,132442742,2912675,4,Nicely done!,1,15,2022-07-09 21:49:19.990 -0400
1000,153774309,2912675,1,You seem to have some aspects of the problem worked out but your answer does not fully show your reasoning or answer. ,1,27,2022-07-09 21:49:47.639 -0400
1001,132353086,2912675,1,I am not following your reasoning or response. Who is the fastest swimmer? How do you know? ,1,45,2022-07-09 21:50:33.230 -0400
1002,132248161,2912675,0,"Great! When you used those, what did you do and who did you determine was the fastest swimmer?",1,27,2022-07-09 21:51:01.272 -0400
1003,142378339,2912675,1,"Yes, but can you elaborate on this",1,22,2022-07-09 21:51:23.548 -0400
1004,154891561,2912675,1,Your response is incomplete. Please explain your asnwer. ,1,35,2022-07-09 21:51:58.714 -0400
1005,154172839,2912675,0,Your work does not include the numbers that should have been plotted. Please go back and check your work. ,1,20,2022-07-09 21:52:19.827 -0400
1006,154086124,3141985,2,Some. Alums are not identified correctly there is no evidence of understanding symbols.,0,180,2022-07-10 00:36:05.167 -0400
1007,153774309,3141985,1,Answer lacks reasoning and explanation.,0,57,2022-07-10 00:37:03.323 -0400
1008,132021072,3141985,1,Response does not align with what problem asks of student..,0,132,2022-07-10 00:39:15.617 -0400
1009,153807149,3141985,1,"If basing an average score, this is not how to generate the answer.",0,169,2022-07-10 00:42:05.028 -0400
1010,144838871,3141985,2,"The answer is incorrect, but she gave good supportive information on how she used average over time. However, the -62 is still colder than at Mars. ",0,271,2022-07-10 00:46:37.003 -0400
1011,154087921,3141985,2,They asked for one equation< using the < sign.  For example: -8 ,0,157,2022-07-10 00:49:15.054 -0400
1012,144485699,3141985,2,A more clear explanation is needed to relate the numbers specifically on a number line with their degrees.,0,466,2022-07-10 00:57:01.397 -0400
1013,144652730,3141985,1,"The answer stated is actually backwards. The higher numbers are on the left. So, -62 is on the left of -55.",0,203,2022-07-10 01:00:24.675 -0400
1014,132568897,3141985,1,"Started off with the correct procedure, but than exited the process. All the races Sarah did were 25 mph and all the races Eva ran were 26 mph. This was achieved by dividing the distance by the time. ",0,346,2022-07-10 01:06:11.651 -0400
1015,156769860,3141985,1,Student left out all needed information to answer question. ,0,196,2022-07-10 01:09:28.653 -0400
1016,144704702,3141985,2,"Gave the correct answer, but with no explanation. ",0,173,2022-07-10 01:12:22.132 -0400
1017,141522638,3141985,3,Accurate explanation of money in the bank.,0,173,2022-07-10 01:15:15.710 -0400
1018,144485699,3141985,3,The student accurately identified the correct answer. I would have liked to see him/her use the negative numbers in the description of the number line. ,0,207,2022-07-10 01:18:43.442 -0400
1019,141424567,3141985,2,More information could be identified. Was more money put in? Is this interest? ,0,114,2022-07-10 01:20:38.021 -0400
1020,141933235,3141985,2,"Is it showing deposits, interest, paychecks?",0,88,2022-07-10 01:22:06.665 -0400
1021,153804023,3141985,2,"The division is not accurate. However, knowing to add and the divide by 3 was the correct procedure. ",0,293,2022-07-10 01:27:00.335 -0400
1022,142080574,2835460,1,Can you describe what the constant speed describes in this story,1,63,2022-07-10 19:11:39.541 -0400
1023,132353086,2835460,4,Nice use of the unit rate to compare the rate to Sara's,1,67,2022-07-10 19:12:46.772 -0400
1024,144644490,2835460,3,Can you explain more about what you mean the number is smaller and how hat makes Mars warmer,1,41,2022-07-10 19:13:28.659 -0400
1025,154087889,2835460,3,True.  Problem asks you to use only the numbers you plotted,1,45,2022-07-10 19:14:13.880 -0400
1026,141953013,2835460,3,Can you explain how you found the slope of 4?,1,29,2022-07-10 19:14:43.045 -0400
1027,142080265,2835460,1,He did start with 40. What does the slope tells about money saved over the weeks?,1,31,2022-07-10 19:15:14.532 -0400
1028,141453365,2835460,3,Yes.   Can you figure out what he saves in one week?,1,32,2022-07-10 19:15:47.150 -0400
1029,154084590,2835460,1,True.  The problem asks you to plot three inequalities.  ,1,25,2022-07-10 19:16:13.062 -0400
1030,141933235,2835460,3,Can you be even more specific?  How much in one week?,1,37,2022-07-10 19:16:50.341 -0400
1031,144581770,2835460,3,Yes.  Is it always true that the larger a number gets it gets smaller?,1,88,2022-07-10 19:18:18.720 -0400
1032,154088094,2835460,1,Go back and reread parts one and two,1,21,2022-07-10 19:18:39.909 -0400
1033,144651329,2835460,4,Yes.,1,14,2022-07-10 19:18:54.877 -0400
1034,156773069,2835460,1,What would the new gray shapes be?,1,71,2022-07-10 19:20:06.319 -0400
1035,154839333,2835460,4,YEs,1,31,2022-07-10 19:20:38.115 -0400
1036,154173602,178649,4,Great job!,0,87,2022-07-11 08:38:29.665 -0400
1037,132549333,178649,4,You did great! I would also add how you know that Eva is the faster swimmer- your calculations don't tell me what units you are comparing.,0,112,2022-07-11 08:40:22.819 -0400
1038,132353086,178649,2,"Your calculations are correct; however, you haven't explained who the faster swimmer is, or what comparing 130 to 125 tells you about who is the faster swimmer.",0,96,2022-07-11 08:42:00.363 -0400
1039,154084590,178649,1,"Your inequality is correct! However, you needed to provide THREE inequality statements.",0,56,2022-07-11 08:42:57.036 -0400
1040,132248161,178649,1,Yes! So what can you do with time and meters to get numbers that you can compare? How will that tell you who the faster swimmer is? Who IS the faster swimmer?,0,65,2022-07-11 08:44:05.511 -0400
1041,142327213,178649,1,Great start! Your response is partially correct; the slope usually indicates a rate... what rate is being given in this problem? (Hint: ____ per ____),0,167,2022-07-11 08:46:56.893 -0400
1042,141424635,178649,4,You got it! Say more: how much does Andre save per week?,0,103,2022-07-11 08:48:41.026 -0400
1043,154088030,178649,1,"Your inequalities are correct, but your numbers are not between -2 and -8 on the number line.",0,53,2022-07-11 08:49:35.322 -0400
1044,153804667,178649,1,"You have the right idea about finding the mean (add three numbers and divide by 3), but you only have Noah's and Mai's scores... How can you use the information about the 40 points to find Clare's score?",0,420,2022-07-11 08:56:36.069 -0400
1045,154172586,178649,0,Use the inequality symbols (< and >) to write three number sentences that compare the three numbers you plotted on the number line.,0,124,2022-07-11 08:58:40.262 -0400
1046,153804023,178649,3,How do you know that Clare's score is 70?,0,48,2022-07-11 08:59:28.521 -0400
1047,132520431,178649,3,You're right! But how do you know that she swims 26 meters in 1 minute?,0,24,2022-07-11 08:59:54.164 -0400
1048,144477715,178649,1,"You're right! How would you make that statement with an inequality symbol (< or >)? Also, you need to write THREE inequality statements, not just one. What other two inequalities could you write?",0,72,2022-07-11 09:01:06.974 -0400
1049,154192851,178649,1,"Remember, on a horizontal number line, all of the numbers on the left are smaller than any number on the right. (Also, you need 3 inequality statements, not just 2.)",0,362,2022-07-11 09:07:09.664 -0400
1050,153807134,178649,1,"You're right, the mean is 40! How does that help you determine Clare's score? Use the mean formula with the numbers you're given to write an equation.",0,55,2022-07-11 09:08:04.821 -0400
1051,154088338,178649,3,"You're correct with your inequality. However, how would you compare these numbers using THREE inequality statements? (Hint: compare two numbers at a time.)",0,58,2022-07-11 09:09:03.946 -0400
1052,141453414,178649,4,Perfect! Great job!,0,15,2022-07-11 09:09:19.193 -0400
1053,132056618,178649,3,That's great! So... who's the faster swimmer?,0,64,2022-07-11 09:10:23.936 -0400
1054,153771796,178649,2,How do you know that Clare's score is 70?,0,272,2022-07-11 09:14:57.143 -0400
1055,141953013,178649,4,You are correct about what the graph represents! But the slope isn't 4... check that again.,0,302,2022-07-11 09:20:00.291 -0400
1056,142085584,178649,2,"Yes, you are on the right track, but your answer should be more specific: the slope should tell describe a unit rate. ",0,313,2022-07-11 09:25:13.929 -0400
1057,132016323,178649,4,Perfect! You did awesome!,0,27,2022-07-11 09:25:41.566 -0400
1058,141891911,178649,2,"True! However, this doesn't tell what the slope represents. The slope is a unit rate... what is being compared?",0,50,2022-07-11 09:26:32.049 -0400
1059,132568897,178649,1,Dividing will help you determine the faster swimmer. How can you compare the two answers you get to determine who swam faster? Who swam faster?,0,85,2022-07-11 09:27:58.051 -0400
1060,144098695,178649,2,"Yes, Mars is warmer! Use a vertical number line to explain your thinking: which number is higher up?",0,298,2022-07-11 09:32:56.728 -0400
1061,142379229,178649,1,You are describing the y-intercept (correctly). But what does the *slope* represent?,0,151,2022-07-11 09:35:28.786 -0400
1062,144503470,178649,1,"Say more here: you have the right idea, but think about how the numbers compare on a number line. How do you know which one is smaller? (Also, make sure to answer the question: do you agree with Kiran?)",0,78,2022-07-11 09:36:47.579 -0400
1063,141424981,178649,2,Yes it does. What is that relationship?,0,38,2022-07-11 09:37:26.366 -0400
1064,141768776,178649,4,Precisely! Great job!,0,30,2022-07-11 09:37:56.767 -0400
1065,141933235,178649,2,Great start! Be more specific: the slope is a unit rate. ,0,76,2022-07-11 09:39:13.079 -0400
1066,141482836,178649,4,Yes!,0,8,2022-07-11 09:39:22.057 -0400
1067,141522638,178649,4,Great!,0,12,2022-07-11 09:39:34.653 -0400
1068,141453310,178649,4,Yes!,0,8,2022-07-11 09:39:42.769 -0400
1069,132248190,178649,2,"Comparing distances would work if the times were the same, but Sarah's and Eva's times are different. How can you compare their distances to the *same* time?",0,189,2022-07-11 09:42:52.288 -0400
1070,154087921,178649,2,Your inequalites are correct; but did you plot three numbers *between* -2 and -8?,0,95,2022-07-11 09:44:28.316 -0400
1071,141453170,178649,4,Yes! Although typically the slope represents a unit rate (how much did he save in 1 week?).,0,33,2022-07-11 09:45:02.120 -0400
1072,132021072,178649,3,"You are on the right track! 75/3 are Sarah's numbers, and you transposed Eva's distance (25 instead of 52). You did the right things, just be careful with the details.",0,213,2022-07-11 09:48:35.486 -0400
1073,156796797,178649,1,Compare the amount of liquid in each beaker. Why is Cristina correct?,0,290,2022-07-11 09:53:25.945 -0400
1074,153774309,178649,1,How did you determine the 70? Why did you divide by 4?,0,95,2022-07-11 09:55:01.667 -0400
1075,144838871,178649,1,This problem asks you to compare the coldest temperature in the USA (-62) and the average temperature on Mars (-55). Which number represents a warmer temperature?,0,95,2022-07-11 09:56:37.389 -0400
1076,154842713,178649,1,You are right that it is not a statistical question. Say more with your reasoning: how could you change the question to make it a statistical question?,0,138,2022-07-11 09:58:55.739 -0400
1077,141453365,178649,4,Yes! Although typically the slope is described as a unit rate: how many dollars does he save per week?,0,32,2022-07-11 09:59:28.351 -0400
1078,144583078,178649,4,Yes!,0,23,2022-07-11 09:59:51.918 -0400
1079,144765706,178649,3,"This is correct! It only works for negative numbers, though. For example, 13 is closer to 0 than 25, but 25 is greater.",0,56,2022-07-11 10:00:48.752 -0400
1080,144644490,178649,3,How do you know?,0,11,2022-07-11 10:01:00.840 -0400
1081,154135735,178649,0,"Plot your numbers on a vertical number line; which numbers are higher? Also, write *three* inequalities ( you only wrote 2).: ",0,76,2022-07-11 10:02:17.768 -0400
1082,154086674,178649,4,Excellent!,0,15,2022-07-11 10:02:33.635 -0400
1083,132784282,178649,4,"Nice, concise explanation!",0,18,2022-07-11 10:02:52.313 -0400
1084,132021241,178649,4,Yes! Check your calculation for 75/3.,0,36,2022-07-11 10:03:28.725 -0400
1085,156771995,178649,0,Draw a picture of what Ann's pieces of paper look like after she cuts the two grey squares. How many triangles does she have? How many squares does she have?,0,95,2022-07-11 10:05:04.264 -0400
1086,141891911,178649,2,"Yes, this is true. But you need to describe what the slope *represents*. Usually, the slope is a unit rate... what is the unit rate in this problem?",0,67,2022-07-11 10:06:12.172 -0400
1087,144444719,178649,4,Yes!,0,16,2022-07-11 10:06:28.926 -0400
1088,154122671,178649,4,Great!,0,13,2022-07-11 10:06:42.124 -0400
1089,153769118,178649,1,This is true. But how do you use that information to determine Clare's score?,0,37,2022-07-11 10:07:19.870 -0400
1090,144704702,178649,0,Which temperature is *warmer*?,0,78,2022-07-11 10:08:38.894 -0400
1091,144541645,178649,4,Yes!,0,48,2022-07-11 10:09:27.765 -0400
1092,154086124,178649,1,"Your inequalities are correct, but the numbers should be between -2 and -8 (not including -2 or -8).",0,40,2022-07-11 10:10:08.308 -0400
1093,144485699,178649,2,"It is correct that numbers get larger as you go to the right, but if you plot -62 and -55 on the number line, which number will be farther to the right?",0,76,2022-07-11 10:11:25.453 -0400
1094,154892189,178649,0,"Is it categorial, or numerical?",0,49,2022-07-11 10:12:14.931 -0400
1095,141522745,178649,2,"Yes, but be more specific: what specifically does the slope of this problem say?",0,58,2022-07-11 10:13:13.143 -0400
1096,137252809,178649,3,Which vertical line should she reflect on?,0,73,2022-07-11 10:14:26.534 -0400
1097,154123763,178649,1,"Your inequalities are correct (as is your equation). But your numbers need to be between -2 and -8, not including -2 or -8.",0,58,2022-07-11 10:15:24.976 -0400
1098,154894821,178649,3,It's numerical because what's a number?,0,129,2022-07-11 10:17:35.107 -0400
1099,153769176,178649,1,How did you determine Clare's score?,0,44,2022-07-11 10:18:19.520 -0400
1100,142378339,178649,2,"Yes, but be more specific... ",0,40,2022-07-11 10:19:00.147 -0400
1101,156797647,178649,0,"Who is correct, Susan or Cristina? How do you know?",0,35,2022-07-11 10:19:36.242 -0400
1102,144581770,178649,3,It sounds like you are talking about absolute value. How can you use a number line to compare the two values?,0,42,2022-07-11 10:20:18.960 -0400
1103,154072386,178649,0,How did you get 70/3? Explain your thinking.,0,54,2022-07-11 10:21:13.639 -0400
1104,154149726,178649,4,What an amazing way to calculate averages! Great work!,0,916,2022-07-11 10:36:30.762 -0400
1105,144652730,178649,4,Nice explanation!,0,15,2022-07-11 10:36:47.215 -0400
1106,156797290,178649,3,"Technically correct, but please be more precise. 4 what? She's got more than one shape now...",0,120,2022-07-11 10:38:47.733 -0400
1107,142378339,178649,2,"Yes, but be more specific: slope usually represents a unit rate. What specifically is the slope describing?",0,37,2022-07-11 10:39:25.486 -0400
1108,154853986,178649,0,"This question asks if the Number of languages (spoken by each of 20 adults) is a category, or a number? In this case, it's a number. If the question asked What languages do each of 20 adults speak? that would be categorical, since the languages is a category, not a number.",0,137,2022-07-11 10:41:42.978 -0400
1109,154168569,178649,1,"Yes, start out by adding 20 and 30. After that, find a third number so that when you average all three numbers, you get 40.",0,65,2022-07-11 10:42:48.955 -0400
1110,132093750,178649,1,"Yes, divide distance by the time. Who was faster? How do you know?",0,46,2022-07-11 10:43:35.605 -0400
1111,153807149,178649,1,Why did you add 30 and 40? It isn't clear how you got your answer.,0,46,2022-07-11 10:44:22.092 -0400
1112,142061101,178649,1,"Yes, the $40 represents the y-intercept. But what does the *slope* represent?",0,34,2022-07-11 10:44:56.576 -0400
1113,156580799,1072887,0,"You are actually solving by d because you already know the value of P = 1,500. Substitute P(d) by 1500 and solve the quadratic using any method you learned, other than a graphing calculator.",0,213,2022-07-11 10:45:55.175 -0400
1114,147198308,1072887,0,"The inverse of multiplying by 40 is dividing by 40, so g = m/40",0,123,2022-07-11 10:47:58.940 -0400
1115,147204734,1072887,3,"Great start. This is the value of g when we know that m = 140, what if we don't know m? g = m/40",0,97,2022-07-11 10:49:36.449 -0400
1116,156579259,1072887,4,You have the correct solutions. How did you find them? You are supposed to write the equation: 1500 = -4d^2 + 200d - 100,0,131,2022-07-11 10:51:48.309 -0400
1117,154891809,178649,0,Are you saying it is *not* a statistical question? What makes it so?,0,464,2022-07-11 10:52:40.941 -0400
1118,144025126,1072887,3,"Great start, but when you divide 9.75x by x, you get 9.75.",0,91,2022-07-11 10:53:19.643 -0400
1119,142575554,1072887,4,Great job. ,0,50,2022-07-11 10:54:10.871 -0400
1120,142575202,1072887,4,Good job!,0,15,2022-07-11 10:54:26.354 -0400
1121,156578250,1072887,4,Great job showing how you used completing the square.,0,61,2022-07-11 10:55:28.166 -0400
1122,144001167,1072887,0,There were no people with smartphone 10 years before 2000,0,73,2022-07-11 10:56:41.863 -0400
1123,155593562,1072887,4,Good! Any positive number is greater than a negative number.,0,55,2022-07-11 10:57:37.390 -0400
1124,151193726,1072887,0,"78 = 2 players for each team + 6 times the number of players in each team. Let the number of players in each team = x. Now write the equation.",0,146,2022-07-11 11:00:04.632 -0400
1125,156732001,1072887,3,"In general, g = m/40",0,37,2022-07-11 11:00:42.431 -0400
1126,154569762,178649,4,Excellent!,0,501,2022-07-11 11:01:02.876 -0400
1127,142576410,1072887,0,Great explanation. Correlation does not imply causation.,0,44,2022-07-11 11:01:27.214 -0400
1128,142293300,1072887,4,Great explanation,0,52,2022-07-11 11:02:19.447 -0400
1129,142576448,1072887,4,Good explanation! Correlation does not imply causation.,0,43,2022-07-11 11:03:02.798 -0400
1130,153804667,178649,2,How did you use the 40 (the average) in this problem?,0,188,2022-07-11 11:04:11.556 -0400
1131,156580795,1072887,0,"1500 = -4 d^2 + 200d - 100",0,198,2022-07-11 11:06:21.620 -0400
1132,156580018,1072887,4,The equation is 1500 = -4d^2 + 200d - 100. and 10 is a solution ,0,142,2022-07-11 11:08:43.952 -0400
1133,156578549,1072887,3,"1500 = -4d^2 + 200d -100. 40 is one of the solutions.",0,58,2022-07-11 11:09:43.050 -0400
1134,142576373,1072887,1,Why? Can you say more? Correlation does not indicate causation.,0,55,2022-07-11 11:10:38.362 -0400
1135,146536054,1072887,2,"How do you know? This week, you paid 5/4 = 1.25 for each.",0,80,2022-07-11 11:11:58.875 -0400
1136,142575465,1072887,4,"Good! It means that As the number of trees increases, we expect to see an increase in these scores. ",0,128,2022-07-11 11:14:07.487 -0400
1137,142296242,1072887,0,"They are related, but that does not indicate causation.",0,244,2022-07-11 11:18:12.078 -0400
1138,154172586,654406,1,"Inequalities are the comparison between two quantities.  I think you are trying to compare coordinate points which have two quantities EACH and represent a LOCATION, not a quantity. ",0,259801,2022-07-11 11:18:15.426 -0400
1139,147898882,1072887,0,g = m/40. The inverse of multiplying by 40 is dividing by 40.,0,50,2022-07-11 11:19:02.329 -0400
1140,156578928,1072887,1,Please show your work. How did you solve?,0,41,2022-07-11 11:19:43.467 -0400
1141,154550600,654406,1,Always complete your calculations carefully and double check your work.  The sum of those 10 values is NOT 62.  The quotient of 62 and 10 is also NOT 7.4.  Did you work the steps out more than once?,0,181,2022-07-11 11:21:17.209 -0400
1142,154144152,654406,4,Great job.  I can see your really know how to compare decimal integers.  ,0,56,2022-07-11 11:22:13.476 -0400
1143,154192851,654406,0,Remember the GREATER integer is the quantity that is farther to the right on a number line.  -3 would be the closest to 0 and positive integers of the three integers you provided.  It is the LEAST negative.  ,0,83,2022-07-11 11:23:37.156 -0400
1144,147195301,1072887,0,g = m/40. The inverse of *40 is /40,0,382,2022-07-11 11:26:05.991 -0400
1145,142576087,1072887,4,Great explanation! Correlation does not imply causation,0,52,2022-07-11 11:26:59.156 -0400
1146,156579458,1072887,1,Can you show how you solved the equation?,0,86,2022-07-11 11:28:25.520 -0400
1147,142580691,1072887,0,"They are correlation, but that does not indicate causation.",0,23,2022-07-11 11:28:50.549 -0400
1148,143745019,1072887,0,"As x becomes very very large and as it becomes very very small, y approaches 3.",0,258,2022-07-11 11:33:08.845 -0400
1149,156578503,1072887,1,Can you show how you solved the equation?,0,22,2022-07-11 11:33:31.794 -0400
1150,142292747,1072887,4,Good,0,11,2022-07-11 11:33:43.123 -0400
1151,156598475,1072887,4,"10 and 40 are correct. Please take a screenshot of your work next time :)",0,77,2022-07-11 11:35:00.954 -0400
1152,155874966,65365,1,Show your thinking.,1,60,2022-07-11 11:35:48.207 -0400
1153,153896888,65365,4,"Yes, nice job.",1,7,2022-07-11 11:35:55.854 -0400
1154,141522745,8926,2,This is a summary of what the graph shows  Please explain what the slope (vertical change/horizontal change) represents.,1,1900,2022-07-11 11:36:53.227 -0400
1155,144370784,65365,4,"Yes, nice job.",1,290,2022-07-11 11:40:46.994 -0400
1156,155545481,65365,4,"Yes, nice job.",1,23,2022-07-11 11:41:10.192 -0400
1157,156093655,65365,1,Show your work.,1,25,2022-07-11 11:41:35.949 -0400
1158,155594264,65365,4,"Yes, nice job.",1,11,2022-07-11 11:41:47.742 -0400
1159,153884897,65365,4,"Yes, nice job.",1,12,2022-07-11 11:42:00.677 -0400
1160,144766753,65365,3,"Very close, is it 40 weeks or 40 dollars?",1,43,2022-07-11 11:42:43.980 -0400
1161,155838736,65365,1,Show your work.,1,7,2022-07-11 11:42:52.000 -0400
1162,155811648,65365,1,Show your work.,1,8,2022-07-11 11:43:01.113 -0400
1163,155946020,65365,1,"How do you know, show your calculations.",1,23,2022-07-11 11:43:24.477 -0400
1164,153892552,65365,4,"Yes, nice job.",1,7,2022-07-11 11:43:32.160 -0400
1165,153836760,65365,4,"Yes, nice job.",1,7,2022-07-11 11:43:40.024 -0400
